text,aspect_term,polarity
i personally would recommend this router in every house hold or small buisiness environmnets .,router,pos
this router is the best i have used to date .,router,pos
i 'm quite happy with my new speaker bar .,speaker bar,pos
life is good .,life,pos
the build quality is top notch .,quality,pos
it works great for this purpose .,works,pos
setup is simple and it worked right out of the box .,setup,pos
"i 'm not easily impressed by electronics , tending to be a little conservative , but this product really deserves five stars .",product,pos
"halfway through the firmware upgrade progress bar , the infamous browser `` page not found  screen replaced most of the router 's interface .",firmware upgrade,neg
the sound that came from that cheap little record player sounded like carnegie hall .,sound,pos
i did have problem connecting my laptop to the internet but there customer service representative was very helpful and patient in walking me through all the steps .,customer service,pos
assembly is a little awkward because the drawings aren't that great .,drawings,neg
it also has excellent coverage through our two story house .,coverage,pos
"i tried to use these with my laptop -lrb- dell inspiron 1720 -rrb- but couldn't get rid of the buzzing noise others have mentioned , no matter how far i moved them from the computer or where i plugged them in .",noise,neg
"set up was smooth , and both wired and wireless devices worked very well on it .",set up,pos
these speakers are incredibly amazing .,speakers,pos
i usually avoid horns but i don't hear anything overly extreme .,horns,neg
pros : - great sound for a $ 100 speaker at mid to higher levels .,sound,pos
screen brightness is really good .,screen brightness,pos
"my fiance ordered this computer , she 's a teacher so she needed a small computer that would keep her from bringing work home with her .",computer,pos
absolutely love it and cant beat the price !,price,pos
works super easy .,works,pos
"this is a great 3-piece speaker system for a computer , and it 's worth every penny .",speaker system,pos
i love this monitor .,monitor,pos
"the router has obviously problems with static ip addresses , firewalls and numerous other programs .",router,neg
the technical support phone line was responsible for my giving technical support 4 stars .,technical support,pos
"living in a small college apartment the e90s and e100s were beautiful , but a bit overkill for what i needed .",e90s,pos
"living in a small college apartment the e90s and e100s were beautiful , but a bit overkill for what i needed .",e100s,pos
"the changing colors help to tell , with a quick glance .",colors,pos
"the speakers have a very rich sound and good bass also , obviously not thumping bass for which you would need a huge subwoofer !!",speakers,pos
"the speakers have a very rich sound and good bass also , obviously not thumping bass for which you would need a huge subwoofer !!",sound,pos
"the speakers have a very rich sound and good bass also , obviously not thumping bass for which you would need a huge subwoofer !!",bass,pos
nice monitor for price but i agree with other customer review about difficulty of cable hook ups .,monitor,pos
nice monitor for price but i agree with other customer review about difficulty of cable hook ups .,price,pos
nice monitor for price but i agree with other customer review about difficulty of cable hook ups .,cable hook ups,neg
"hooked up to the d-link extreme n , connected speed dropped to 18mbps and wireless down to 8mbps .",speed,neg
